Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, T1, T2, f)
admix_origin_no_mig	Round_1_Replicate_1	-6431.56	12875.12	1464330353748.01	84.24	8.0832,0.2232,0.4709,0.1475,3.3229,0.0944
admix_origin_no_mig	Round_1_Replicate_2	-3639.48	7290.96	43498303.66	80.86	1.3047,0.4785,4.0303,0.4697,3.5538,0.9887
admix_origin_no_mig	Round_1_Replicate_3	-4070.65	8153.3	16263135.55	78.34	0.199,6.6483,7.6601,0.4484,1.5495,0.9887
admix_origin_no_mig	Round_1_Replicate_4	-2323.63	4659.26	7189.18	139.24	1.3292,3.4063,0.803,1.4245,0.2664,0.2406
admix_origin_no_mig	Round_1_Replicate_5	-3210.74	6433.48	68368.34	159.24	0.5589,2.4931,1.0186,0.607,1.1187,0.9807
admix_origin_no_mig	Round_1_Replicate_6	-2001.52	4015.04	5284.46	341.83	0.3381,0.4158,0.6839,0.1684,0.1923,0.1543
admix_origin_no_mig	Round_1_Replicate_7	-6321.91	12655.82	38559162511.17	224.48	0.8384,0.2417,0.2816,0.1251,2.2349,0.091
admix_origin_no_mig	Round_1_Replicate_8	-4375.48	8762.96	1944704.52	97.89	0.6805,6.2203,1.2558,0.2913,2.8783,0.0633
admix_origin_no_mig	Round_1_Replicate_9	-3922.95	7857.9	1792599932427.64	58.53	2.5563,0.2338,4.2541,0.8522,6.1887,0.0777
admix_origin_no_mig	Round_1_Replicate_10	-3541.27	7094.54	193838.88	300.72	0.4454,0.435,0.4193,0.6542,0.6496,0.9887
admix_origin_no_mig	Round_2_Replicate_1	-1725.06	3462.12	5121.33	221.86	0.6028,0.8385,1.4316,0.0912,0.386,0.1994
admix_origin_no_mig	Round_2_Replicate_2	-2003.36	4018.72	34038.51	250.85	0.9742,0.8062,0.8147,0.5924,0.0764,0.0537
admix_origin_no_mig	Round_2_Replicate_3	-3565.84	7143.68	53134.76	543.3	0.1156,0.4063,0.181,0.4947,0.0596,0.1094
admix_origin_no_mig	Round_2_Replicate_4	-1754.04	3520.08	9201.99	371.67	0.4331,0.2334,0.7759,0.4972,0.0976,0.5489
admix_origin_no_mig	Round_2_Replicate_5	-2651.32	5314.64	8298.06	412.97	0.3087,0.5722,0.2258,0.1067,0.0994,0.1159
admix_origin_no_mig	Round_2_Replicate_6	-1853.7	3719.4	55074.36	286.98	0.2485,1.1842,1.677,0.07,0.1031,0.1988
admix_origin_no_mig	Round_2_Replicate_7	-3484.94	6981.88	7626179.79	267.07	0.1108,0.4512,1.6332,0.5889,0.4261,0.5018
admix_origin_no_mig	Round_2_Replicate_8	-4195.54	8403.08	551372.25	342.34	0.2085,0.5718,0.3431,0.2175,0.7388,0.1295
admix_origin_no_mig	Round_2_Replicate_9	-2304.04	4620.08	8280.0	443.6	0.1125,0.2218,0.717,0.092,0.118,0.0903
admix_origin_no_mig	Round_2_Replicate_10	-4453.11	8918.22	2672941.16	445.55	0.1129,0.2763,0.3313,0.1988,0.5432,0.1507
admix_origin_no_mig	Round_2_Replicate_11	-3840.75	7693.5	5927235.94	313.82	0.2177,0.2052,0.8562,0.4474,0.6795,0.0556
admix_origin_no_mig	Round_2_Replicate_12	-1310.47	2632.94	34070704.52	267.85	1.1466,0.585,2.7152,0.0414,0.0793,0.5
admix_origin_no_mig	Round_2_Replicate_13	-4225.05	8462.1	4126051.56	336.39	0.6454,0.1692,0.2518,0.4673,0.6669,0.5456
admix_origin_no_mig	Round_2_Replicate_14	-2473.49	4958.98	9232.08	388.01	0.4806,0.2105,0.3468,0.0821,0.2407,0.0613
admix_origin_no_mig	Round_2_Replicate_15	-2853.27	5718.54	21591.06	399.7	0.5701,0.1978,0.3125,0.5813,0.1207,0.0385
admix_origin_no_mig	Round_2_Replicate_16	-1998.2	4008.4	45190.95	299.51	0.1476,0.8159,2.2227,0.0409,0.0992,0.2922
admix_origin_no_mig	Round_2_Replicate_17	-2294.63	4601.26	6514.69	388.16	0.1926,0.5296,0.4698,0.0582,0.1305,0.1577
admix_origin_no_mig	Round_2_Replicate_18	-1477.52	2967.04	5571.88	266.4	1.1158,0.6387,1.0927,0.1479,0.1085,0.1207
admix_origin_no_mig	Round_2_Replicate_19	-3233.91	6479.82	30464.72	483.24	0.1125,0.3986,0.2582,0.1121,0.1744,0.1257
admix_origin_no_mig	Round_2_Replicate_20	-2793.49	5598.98	313392.71	324.74	0.1394,0.3094,1.7879,0.5697,0.2037,0.0889
admix_origin_no_mig	Round_3_Replicate_1	-1522.47	3056.94	2690.27	294.1	0.5223,0.677,1.0054,0.0836,0.1356,0.4691
admix_origin_no_mig	Round_3_Replicate_2	-1401.94	2815.88	458022.55	264.57	0.9324,0.9741,1.2107,0.1496,0.072,0.5791
admix_origin_no_mig	Round_3_Replicate_3	-1182.1	2376.2	49534299.66	204.72	4.0662,0.9159,2.5508,0.0187,0.1745,0.3151
admix_origin_no_mig	Round_3_Replicate_4	-1164.51	2341.02	463247.63	269.82	0.646,0.1875,5.5655,0.0143,0.0958,0.2305
admix_origin_no_mig	Round_3_Replicate_5	-1081.68	2175.36	16126612.75	208.83	1.1576,0.3897,9.3291,0.093,0.1263,0.4465
admix_origin_no_mig	Round_3_Replicate_6	-1147.07	2306.14	19760.22	175.12	1.075,1.4011,5.9243,0.0237,0.2484,0.9885
admix_origin_no_mig	Round_3_Replicate_7	-1239.26	2490.52	3333.83	246.34	0.4621,0.3,3.4178,0.0322,0.1627,0.4629
admix_origin_no_mig	Round_3_Replicate_8	-1374.14	2760.28	65594.1	287.83	1.3154,0.356,0.8106,0.1054,0.085,0.5835
