Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m3, T1, T2, f)
admix_origin_sym_mig_adj	Round_1_Replicate_1	-2641.1	5298.2	17553.09	185.22	0.3219,0.7872,0.9018,1.911,0.1561,2.4159,0.9994,0.2105
admix_origin_sym_mig_adj	Round_1_Replicate_2	-4093.31	8202.619999999999	18552.21	116.51	0.3008,6.9479,0.3008,0.1538,0.49,3.5207,0.9292,0.9888
admix_origin_sym_mig_adj	Round_1_Replicate_3	-3692.8	7401.6	14642.65	208.46	0.1349,3.1216,0.2089,1.181,0.6866,2.1527,0.3979,0.8107
admix_origin_sym_mig_adj	Round_1_Replicate_4	-2498.12	5012.24	74918.05	144.67	3.1236,6.0315,0.2094,1.738,7.8712,1.4421,0.7461,0.9888
admix_origin_sym_mig_adj	Round_1_Replicate_5	-2276.22	4568.44	103656597.47	199.6	6.8425,2.1144,0.1784,1.6205,6.8621,0.1715,1.1093,0.2795
admix_origin_sym_mig_adj	Round_1_Replicate_6	-1402.58	2821.16	12365856.29	141.88	4.4894,1.4743,1.3214,1.2598,5.8237,0.2323,0.5075,0.0598
admix_origin_sym_mig_adj	Round_1_Replicate_7	-2209.61	4435.22	676602.65	147.29	5.924,0.9931,0.3611,4.2842,7.0657,0.2895,5.357,0.7178
admix_origin_sym_mig_adj	Round_1_Replicate_8	-1361.95	2739.9	1177647.06	296.85	0.5968,0.1726,1.2526,4.2899,3.4386,0.1349,0.2862,0.0852
admix_origin_sym_mig_adj	Round_1_Replicate_9	-3811.87	7639.74	21727.96	67.97	8.1438,0.4727,0.2933,2.2852,0.1496,6.6617,0.5965,0.1011
admix_origin_sym_mig_adj	Round_1_Replicate_10	-1620.28	3256.56	189549.32	149.88	1.9109,0.1412,1.3547,3.1315,6.12,4.368,4.6772,0.5554
admix_origin_sym_mig_adj	Round_2_Replicate_1	-1738.88	3493.76	235338.25	221.46	1.7757,0.4251,0.7531,6.1483,13.0981,0.2676,0.4486,0.1491
admix_origin_sym_mig_adj	Round_2_Replicate_2	-1543.95	3103.9	9221932.96	296.25	1.2804,0.3834,0.5578,2.5624,4.8544,0.1393,0.1271,0.0253
admix_origin_sym_mig_adj	Round_2_Replicate_3	-1419.15	2854.3	850726.26	315.6	0.2511,0.1192,2.1259,3.1992,9.524,0.4414,0.6482,0.3234
