Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, m1, m2, T1, T2)
refugia_adj_2	Round_1_Replicate_1	-3143.14	6302.28	11373.5	250.59	0.7839,0.9847,0.1669,2.9636,0.5519,0.2148,1.1136,0.207
refugia_adj_2	Round_1_Replicate_2	-1988.01	3992.02	1080717.32	115.46	3.4333,0.6519,0.5428,1.1632,2.3743,0.3543,2.0352,3.6317
refugia_adj_2	Round_1_Replicate_3	-2788.67	5593.34	50377.92	192.09	0.2581,0.2111,5.805,0.2478,0.1341,0.257,3.649,0.1904
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, m1, m2, T1, T2)
refugia_adj_2	Round_1_Replicate_1	-2876.61	5769.22	12188.84	156.32	0.1597,0.3873,1.3168,0.7551,0.2007,0.8238,3.8417,1.5244
refugia_adj_2	Round_1_Replicate_2	-1295.43	2606.86	12049364.02	136.44	5.809,1.2227,1.3366,0.6168,3.9835,1.6317,0.6307,0.2989
refugia_adj_2	Round_1_Replicate_3	-2046.64	4109.280000000001	149276154.75	129.27	0.5826,3.1457,1.9653,3.2406,2.5295,6.2378,1.3524,0.388
refugia_adj_2	Round_1_Replicate_4	-2470.96	4957.92	14113.87	70.55	0.1745,0.4561,7.4418,0.3809,0.4699,0.1561,3.5232,8.2094
refugia_adj_2	Round_1_Replicate_5	-1417.26	2850.52	10837.91	142.91	0.9086,5.1268,1.963,4.1645,0.8718,0.3458,0.2141,0.6361
refugia_adj_2	Round_1_Replicate_6	-2047.62	4111.24	9704886.44	92.29	0.6837,0.2666,5.2383,2.6804,0.1694,2.1401,0.2785,1.7461
refugia_adj_2	Round_1_Replicate_7	-2879.3	5774.6	8678.5	374.67	0.2072,0.1971,0.3204,0.136,0.3695,0.4675,0.8978,1.2014
refugia_adj_2	Round_1_Replicate_8	-2689.39	5394.78	178193.33	88.32	0.6541,5.433,0.7778,4.4166,2.772,0.2282,4.743,4.749
refugia_adj_2	Round_1_Replicate_9	-1965.75	3947.5	18207689.12	117.06	2.0839,0.302,1.0621,3.8581,0.3008,4.2962,0.2063,1.5871
refugia_adj_2	Round_1_Replicate_10	-2448.26	4912.52	853193.77	207.29	0.1918,4.8218,1.6894,0.3369,0.7178,7.4231,1.2255,5.6974
refugia_adj_2	Round_2_Replicate_1	-1359.06	2734.12	80647947.76	72.28	7.7991,4.8001,3.8955,0.2005,1.2275,2.4922,2.0922,0.5344
refugia_adj_2	Round_2_Replicate_2	-1347.78	2711.56	83096737.73	174.98	2.0534,0.8291,3.6178,0.6957,3.4206,0.4921,0.6364,0.1032
refugia_adj_2	Round_2_Replicate_3	-1246.43	2508.86	335561.68	146.94	6.1353,0.388,5.254,0.3046,1.4736,1.5464,0.5024,0.159
refugia_adj_2	Round_2_Replicate_4	-1552.62	3121.24	2869233.28	114.21	24.0115,0.4733,3.6904,0.6978,6.3724,4.2866,0.2271,0.466
refugia_adj_2	Round_2_Replicate_5	-1406.52	2829.04	33466.17	143.84	15.0508,0.6635,1.0698,0.4654,1.1758,0.5575,0.4705,0.1957
refugia_adj_2	Round_2_Replicate_6	-1408.93	2833.86	854390.67	126.74	8.0602,0.6619,1.3354,0.9687,2.0916,0.9527,0.892,0.1818
refugia_adj_2	Round_2_Replicate_7	-1464.41	2944.82	2084219.48	180.32	2.6936,2.268,0.8425,0.8993,4.9694,1.3736,0.3928,0.1796
refugia_adj_2	Round_2_Replicate_8	-1409.31	2834.62	4067209.33	114.48	8.3438,0.5579,3.6796,0.8345,1.179,4.6149,0.5221,0.3759
refugia_adj_2	Round_2_Replicate_9	-1857.06	3730.12	1891149.29	157.83	1.4864,1.2524,0.998,2.2218,2.1962,3.5654,1.6278,0.1817
refugia_adj_2	Round_2_Replicate_10	-1940.31	3896.62	169273.5	131.06	3.2176,2.7831,0.4867,2.4237,3.3583,1.0444,1.2984,0.0773
refugia_adj_2	Round_2_Replicate_11	-1513.41	3042.82	904874652.37	226.37	1.8727,0.763,0.8385,0.1987,7.5873,3.5866,0.5019,0.0848
