Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, T1)
sim_split_no_mig	Round_1_Replicate_1	-1505.92	3019.84	4611.83	306.59	0.5945,0.9562,0.5098,0.1201
sim_split_no_mig	Round_1_Replicate_2	-2146.46	4300.92	17082.04	199.61	0.8857,1.4327,0.2849,0.7729
sim_split_no_mig	Round_1_Replicate_3	-6720.39	13448.78	160823529619.28	91.65	0.438,1.167,3.077,5.8592
sim_split_no_mig	Round_1_Replicate_4	-1861.18	3730.36	3677785.67	202.33	7.0214,1.1307,3.6417,0.2325
sim_split_no_mig	Round_1_Replicate_5	-4985.14	9978.28	1731221989203.02	148.58	0.6453,0.1291,2.2251,2.8105
sim_split_no_mig	Round_1_Replicate_6	-7205.76	14419.52	763648575057888.5	203.76	0.8694,0.2906,0.1612,2.8377
sim_split_no_mig	Round_1_Replicate_7	-4810.52	9629.04	475215338.07	210.55	0.3626,0.8927,0.2615,2.0386
sim_split_no_mig	Round_1_Replicate_8	-5140.74	10289.48	381729003860.65	69.23	2.4156,0.1477,5.5175,5.104
sim_split_no_mig	Round_1_Replicate_9	-2950.35	5908.7	28071.8	259.3	1.5565,0.2877,2.2249,0.3118
sim_split_no_mig	Round_1_Replicate_10	-2812.97	5633.94	10168.89	394.59	0.4078,0.1958,0.7478,0.1273
sim_split_no_mig	Round_2_Replicate_1	-2366.03	4740.06	4455916.79	385.87	0.2294,0.4237,1.9761,0.0362
sim_split_no_mig	Round_2_Replicate_2	-1513.76	3035.52	5029.68	329.29	0.7441,0.6936,0.2016,0.1143
sim_split_no_mig	Round_2_Replicate_3	-1718.96	3445.92	3695.72	298.16	0.2719,1.2236,0.3079,0.205
sim_split_no_mig	Round_2_Replicate_4	-1320.14	2648.28	510991.33	231.9	0.972,4.0452,1.1263,0.1339
sim_split_no_mig	Round_2_Replicate_5	-1604.2	3216.4	3349.53	260.31	1.2283,0.9092,0.2283,0.287
sim_split_no_mig	Round_2_Replicate_6	-1100.33	2208.66	12301.7	233.27	0.9688,2.369,0.3328,0.1972
sim_split_no_mig	Round_2_Replicate_7	-1876.48	3760.96	303137.45	297.93	1.0389,0.7288,1.9377,0.1128
sim_split_no_mig	Round_2_Replicate_8	-1436.48	2880.96	5421.02	221.07	0.502,2.6982,1.0957,0.2306
sim_split_no_mig	Round_2_Replicate_9	-1643.52	3295.04	1030102.54	321.33	1.3984,0.6666,0.3995,0.0808
sim_split_no_mig	Round_2_Replicate_10	-1708.56	3425.12	5888.02	229.8	0.2572,2.7933,0.6881,0.2455
sim_split_no_mig	Round_2_Replicate_11	-2293.08	4594.16	266276.81	404.71	0.1566,0.3674,0.4987,0.0294
sim_split_no_mig	Round_2_Replicate_12	-1712.7	3433.4	1831184.86	293.42	0.3998,3.3926,0.9464,0.0657
sim_split_no_mig	Round_2_Replicate_13	-1657.12	3322.24	4565828.75	267.0	1.6715,1.3612,1.9901,0.1117
sim_split_no_mig	Round_2_Replicate_14	-1409.79	2827.58	1481491.33	251.97	1.2322,2.2801,1.2295,0.12
sim_split_no_mig	Round_2_Replicate_15	-1616.2	3240.4	75489.2	283.56	0.3756,1.9331,1.06,0.1066
sim_split_no_mig	Round_2_Replicate_16	-1659.9	3327.8	12601.15	306.07	0.8851,0.7263,0.7091,0.1209
sim_split_no_mig	Round_2_Replicate_17	-1699.61	3407.22	20327.49	343.1	1.0613,0.4865,0.2086,0.0904
sim_split_no_mig	Round_2_Replicate_18	-1565.13	3138.26	55191.4	275.21	0.3632,2.4855,0.9128,0.1072
sim_split_no_mig	Round_2_Replicate_19	-1988.77	3985.54	9368.45	237.55	0.2671,1.6834,1.1148,0.3241
sim_split_no_mig	Round_2_Replicate_20	-2392.73	4793.46	8774.57	391.71	0.2304,0.5095,0.1506,0.2595
sim_split_no_mig	Round_3_Replicate_1	-1228.9	2465.8	5038.36	240.38	0.4278,5.0136,0.2794,0.1417
sim_split_no_mig	Round_3_Replicate_2	-1412.87	2833.74	3395.66	320.74	0.5352,0.9533,0.2056,0.1155
sim_split_no_mig	Round_3_Replicate_3	-931.54	1871.08	118512030.86	134.77	3.3254,11.3393,0.3415,0.3475
sim_split_no_mig	Round_3_Replicate_4	-983.93	1975.86	15640.73	142.22	1.6472,6.7946,0.6688,0.4027
sim_split_no_mig	Round_3_Replicate_5	-1276.96	2561.92	1964208.21	311.64	0.5855,1.7397,0.0829,0.078
sim_split_no_mig	Round_3_Replicate_6	-2059.1	4126.2	6516.79	267.12	0.6383,0.6984,0.9652,0.3503
sim_split_no_mig	Round_3_Replicate_7	-1383.83	2775.66	426275.66	323.89	0.809,0.9382,0.1933,0.0808
sim_split_no_mig	Round_3_Replicate_8	-1327.98	2663.96	1428721.25	264.91	3.1221,1.0587,0.2313,0.1436
sim_split_no_mig	Round_3_Replicate_9	-929.02	1866.04	2100271.84	155.75	1.9001,9.28,0.462,0.2866
sim_split_no_mig	Round_3_Replicate_10	-1192.72	2393.44	6232.25	228.08	1.1276,1.9595,0.6662,0.215
sim_split_no_mig	Round_3_Replicate_11	-1405.87	2819.74	2212.39	244.45	0.8111,1.356,0.5405,0.267
sim_split_no_mig	Round_3_Replicate_12	-979.14	1966.28	1492902.33	175.6	2.6379,3.8525,0.7208,0.2705
sim_split_no_mig	Round_3_Replicate_13	-1502.45	3012.9	24967.83	192.42	0.4147,9.5371,1.133,0.2012
sim_split_no_mig	Round_3_Replicate_14	-1223.75	2455.5	4181.45	211.86	0.9699,2.4565,0.9544,0.2429
sim_split_no_mig	Round_3_Replicate_15	-1016.76	2041.52	307961696.06	216.52	1.5641,6.5725,0.1831,0.1472
sim_split_no_mig	Round_3_Replicate_16	-967.15	1942.3	722011.75	198.26	1.4256,4.691,0.3805,0.2085
