Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m2, T1, T2)
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_1	-1768.97	3551.94	18342.36	139.88	1.6332,0.9175,0.4283,3.973,0.193,1.7052,1.507
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_2	-1796.9	3607.8	149803.84	114.44	0.1794,4.4304,2.437,8.037,1.0667,2.2072,0.3174
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_3	-1312.19	2638.38	85608.03	164.28	1.2063,5.4449,2.3226,5.7416,0.3473,0.1988,0.1218
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_4	-3690.53	7395.06	56570.36	108.44	5.3205,0.1722,0.7066,0.2205,5.9719,0.5483,3.8371
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_5	-1507.43	3028.86	62336839.89	82.05	0.8838,6.9954,3.2645,5.4381,0.535,0.1203,2.9391
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_6	-1628.89	3271.78	438515.02	81.94	0.4459,5.7064,7.2286,4.5703,0.247,2.0353,0.5652
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_7	-2135.16	4284.32	82464.16	202.64	0.3242,0.6035,1.0292,3.9997,0.5174,0.1584,4.0933
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_8	-1968.96	3951.92	7577.42	81.31	1.4381,2.676,0.3537,3.2648,0.1942,5.6247,0.1304
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_9	-2632.09	5278.18	30098.18	69.13	0.2403,4.535,2.4569,0.1779,0.6914,4.2847,0.7564
sim_split_refugia_sym_mig_adjacent	Round_1_Replicate_10	-1348.66	2711.32	6689.17	160.41	0.395,3.4476,0.418,1.0954,0.3082,0.6309,0.1971
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_1	-1374.48	2762.96	40724.45	163.78	0.4498,12.2739,1.5228,1.9004,0.1307,0.2332,0.0471
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_2	-1269.79	2553.58	1480699.11	126.81	2.6769,7.07,0.8958,15.0833,0.5646,0.1419,0.3755
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_3	-1516.57	3047.14	5768512.53	101.07	1.8826,4.9765,6.7634,3.9221,1.1749,0.3887,0.4574
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_4	-1135.25	2284.5	14828600.31	147.67	4.8868,1.9137,1.0994,3.4527,0.5009,0.109,0.392
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_5	-1359.28	2732.56	180332.12	123.48	1.4082,10.7717,3.0468,9.9507,0.2585,0.3064,0.2499
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_6	-1842.23	3698.46	235241493.53	241.84	0.5841,8.2463,3.0862,2.951,1.1916,0.0723,0.0309
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_7	-1306.84	2627.68	24191026.79	153.31	0.7897,4.4354,3.872,4.4645,0.0884,0.1267,0.3606
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_8	-1247.17	2508.34	19540843.34	198.68	1.5799,1.5536,0.6352,7.6077,0.1337,0.1806,0.2041
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_9	-1407.64	2829.28	78058307.56	155.03	3.9386,5.2503,3.819,2.0477,0.4221,0.1476,0.1259
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_10	-1763.8	3541.6	282955876.1	139.18	2.3375,12.4795,6.2091,3.6723,1.3884,0.0567,0.2475
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_11	-1367.94	2749.88	33473.4	151.16	0.7261,3.557,3.6503,9.381,1.115,0.4676,0.053
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_12	-1028.38	2070.76	10292.65	158.09	0.9133,4.2772,1.0824,5.6167,1.0586,0.4136,0.0358
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_13	-1512.45	3038.9	7322509.24	192.09	1.1497,3.0523,7.2939,1.481,0.6031,0.1605,0.0763
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_14	-1394.29	2802.58	29760931.82	195.2	3.8437,2.118,1.8727,7.6611,0.3486,0.1786,0.038
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_15	-1490.63	2995.26	173210.12	171.82	0.5774,3.08,5.6373,6.3727,0.8814,0.3097,0.1026
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_16	-939.71	1893.42	1121140082.05	132.1	3.0225,10.2975,0.9716,1.5622,0.1015,0.2965,0.0633
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_17	-1544.5	3103.0	76278.77	250.25	0.7134,2.7947,0.9266,17.1798,0.2359,0.0731,0.0745
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_18	-1184.07	2382.14	3236256.39	71.26	4.2469,19.1781,1.495,7.0407,0.0861,0.7584,0.3029
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_19	-1464.41	2942.82	308735.86	112.92	1.1172,5.9175,5.944,9.471,1.0729,0.6311,0.12
sim_split_refugia_sym_mig_adjacent	Round_2_Replicate_20	-1551.91	3117.82	353279.21	174.19	0.6474,6.0183,6.7992,8.4021,0.2599,0.0719,0.2661
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_1	-970.48	1954.96	2312.6	67.87	1.7848,17.3277,1.1369,1.1748,0.0965,1.1562,0.1685
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_2	-1120.68	2255.36	36571282.23	123.19	2.5376,11.4398,2.0368,1.9293,0.1193,0.2148,0.1924
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_3	-1011.02	2036.04	157488.36	169.67	0.7978,5.0031,0.6963,1.2113,0.0432,0.2355,0.1217
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_4	-872.09	1758.18	84883390.48	107.43	5.1723,7.4852,0.3595,1.2328,0.2782,0.5641,0.0468
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_5	-1188.0	2390.0	48970.46	149.61	0.8569,2.7435,1.1812,3.5284,0.1457,0.7331,0.0481
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_6	-1025.99	2065.98	1456938.08	98.59	1.8802,17.8238,1.7251,1.8255,0.0878,0.3999,0.2162
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_7	-1115.54	2245.08	2002985.82	123.67	3.7062,3.216,0.3759,2.53,0.0429,0.7243,0.0446
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_8	-968.21	1950.42	475406.53	168.63	1.0536,8.5792,0.4787,1.0389,0.09,0.2216,0.0499
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_9	-1238.93	2491.86	29601.64	114.75	5.4439,2.9509,3.0102,0.558,0.0254,0.6374,0.0382
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_10	-954.73	1923.46	12384011.3	77.4	6.8103,7.9327,0.6006,2.8607,0.1345,1.0732,0.0275
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_11	-1181.48	2376.96	25950152.67	117.92	8.9338,4.1927,3.338,0.4037,0.1256,0.4109,0.0772
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_12	-1048.49	2110.98	16033664.11	125.7	11.4103,8.2605,0.2791,2.5129,0.0628,0.3278,0.0497
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_13	-1285.36	2584.72	154106.49	169.46	1.6242,23.1177,0.878,5.7174,0.3464,0.1526,0.0603
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_14	-1067.77	2149.54	3633.86	86.68	0.9524,12.3535,1.3001,2.4994,0.0254,0.9699,0.1093
