Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m2, T1)
sim_split_sym_mig_adjacent	Round_1_Replicate_1	-2789.96	5591.92	7010.91	392.1	0.1807,0.2818,0.1457,1.4876,0.219,2.0636
sim_split_sym_mig_adjacent	Round_1_Replicate_2	-1914.99	3841.98	4171771.84	205.48	6.9232,0.2715,0.4004,4.333,3.187,1.1366
sim_split_sym_mig_adjacent	Round_1_Replicate_3	-1778.28	3568.56	111128.66	102.05	0.2826,3.8387,1.5359,2.0439,0.4634,7.6232
sim_split_sym_mig_adjacent	Round_1_Replicate_4	-1785.21	3582.42	4934925.05	87.44	3.478,2.4818,1.2791,0.5511,6.6338,2.5761
sim_split_sym_mig_adjacent	Round_1_Replicate_5	-1821.29	3654.58	24329.08	156.02	1.907,0.8446,6.0986,0.3524,0.5952,0.7454
sim_split_sym_mig_adjacent	Round_1_Replicate_6	-1512.13	3036.26	228632.6	166.83	0.5079,1.6363,1.051,5.8844,0.5369,1.8697
sim_split_sym_mig_adjacent	Round_1_Replicate_7	-2192.75	4397.5	80329.31	308.02	0.8078,0.193,0.4439,5.5352,1.5516,7.5162
sim_split_sym_mig_adjacent	Round_1_Replicate_8	-1439.07	2890.14	148012.75	63.23	2.9724,6.6404,1.824,6.2065,0.6858,3.1526
sim_split_sym_mig_adjacent	Round_1_Replicate_9	-3421.1	6854.2	20005.13	199.87	0.2065,0.1673,4.5003,7.2354,0.7357,4.7028
sim_split_sym_mig_adjacent	Round_1_Replicate_10	-1272.46	2556.92	32617.17	177.84	0.5419,6.6306,1.0738,0.7182,0.5049,0.2823
sim_split_sym_mig_adjacent	Round_2_Replicate_1	-1983.5	3979.0	77723636.8	227.85	0.3152,11.5899,2.803,0.2122,1.0449,0.1238
sim_split_sym_mig_adjacent	Round_2_Replicate_2	-1552.4	3116.8	21196.64	296.36	0.2388,1.7007,0.6637,2.2866,0.1422,0.1216
sim_split_sym_mig_adjacent	Round_2_Replicate_3	-1149.65	2311.3	6431572.74	208.46	1.018,7.1832,0.3551,2.6052,1.3669,0.1824
sim_split_sym_mig_adjacent	Round_2_Replicate_4	-1638.0	3288.0	292202.63	193.17	0.3418,10.5309,1.6121,0.5142,0.3646,0.2005
sim_split_sym_mig_adjacent	Round_2_Replicate_5	-1094.03	2200.06	14929257.99	227.52	1.2373,4.1433,0.4023,0.296,0.865,0.1477
sim_split_sym_mig_adjacent	Round_2_Replicate_6	-1464.77	2941.54	9236579.28	183.96	1.7947,3.1301,3.992,0.2214,0.9743,0.2415
sim_split_sym_mig_adjacent	Round_2_Replicate_7	-1436.24	2884.48	488999527.44	250.88	1.0253,3.1036,0.8309,1.7395,1.3097,0.1133
sim_split_sym_mig_adjacent	Round_2_Replicate_8	-2233.05	4478.1	141974.05	188.32	0.1742,2.6665,2.8501,0.1991,0.7214,0.4283
sim_split_sym_mig_adjacent	Round_2_Replicate_9	-1343.09	2698.18	6199.65	197.63	0.2957,3.8438,0.3425,0.9587,0.5597,0.4078
sim_split_sym_mig_adjacent	Round_2_Replicate_10	-1392.67	2797.34	5557949.86	178.29	1.6196,4.4908,2.956,0.2715,0.8526,0.2374
sim_split_sym_mig_adjacent	Round_2_Replicate_11	-1263.05	2538.1	1492.53	196.13	0.761,1.8059,0.6803,0.3067,0.2059,0.5274
sim_split_sym_mig_adjacent	Round_2_Replicate_12	-1821.91	3655.82	15596.27	85.37	0.2394,21.2366,1.8173,0.6188,0.2609,1.0882
sim_split_sym_mig_adjacent	Round_2_Replicate_13	-1039.15	2090.3	51307.82	143.17	1.4839,6.5893,1.5754,0.2258,0.1259,0.3835
sim_split_sym_mig_adjacent	Round_2_Replicate_14	-1668.85	3349.7	18579.89	114.85	0.1857,16.5832,0.5275,1.2114,0.4254,0.9622
sim_split_sym_mig_adjacent	Round_2_Replicate_15	-1113.57	2239.14	367792.16	137.55	0.67,13.0762,0.4678,0.9029,0.4001,0.4524
sim_split_sym_mig_adjacent	Round_2_Replicate_16	-1901.62	3815.24	35490699.99	208.0	0.3177,13.7137,2.8028,1.5399,1.2946,0.1621
sim_split_sym_mig_adjacent	Round_2_Replicate_17	-1788.02	3588.04	36325.92	257.92	0.1663,3.9039,0.6984,0.5474,0.7493,0.1365
sim_split_sym_mig_adjacent	Round_2_Replicate_18	-1435.3	2882.6	6126.23	85.21	0.5926,18.5691,0.7309,0.2772,0.3131,1.0502
sim_split_sym_mig_adjacent	Round_2_Replicate_19	-951.63	1915.26	3228623.56	175.36	1.2465,8.6341,0.3462,0.3548,0.2154,0.245
sim_split_sym_mig_adjacent	Round_2_Replicate_20	-1412.32	2836.64	573570629.66	165.36	1.3427,10.3181,1.2912,1.6185,1.9951,0.2598
sim_split_sym_mig_adjacent	Round_3_Replicate_1	-1407.29	2826.58	20208.66	203.91	0.4173,6.6739,1.0646,0.2836,0.0777,0.1952
sim_split_sym_mig_adjacent	Round_3_Replicate_2	-1056.71	2125.42	33991129.06	162.18	3.9117,15.2717,0.2613,0.9278,0.0863,0.2231
sim_split_sym_mig_adjacent	Round_3_Replicate_3	-900.35	1812.7	98381127.9	149.93	2.3046,8.5364,0.2449,0.3543,0.3918,0.3347
sim_split_sym_mig_adjacent	Round_3_Replicate_4	-1168.31	2348.62	25409526.57	213.63	3.4512,5.7336,0.5577,0.1093,0.059,0.1344
sim_split_sym_mig_adjacent	Round_3_Replicate_5	-1049.85	2111.7	268703836.67	140.53	2.8614,13.1434,0.9845,0.1996,0.4661,0.3014
