Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, T1, T2)
split_nomig	Round_1_Replicate_1	-5233.61	10479.22	102676044192141.62	68.56	2.0715,2.9231,0.195,1.6811,5.106,4.9894
split_nomig	Round_1_Replicate_2	-8185.43	16382.86	3.341736323719906e+17	198.36	0.25,0.2437,0.1805,2.0999,2.9302,1.1426
split_nomig	Round_1_Replicate_3	-3745.58	7503.16	167299.77	106.1	2.6907,1.3734,0.7817,2.2383,0.6318,2.1691
split_nomig	Round_1_Replicate_4	-4868.38	9748.76	641644238.51	72.65	0.5283,3.3412,3.2117,6.8433,4.53,1.4267
split_nomig	Round_1_Replicate_5	-3496.69	7005.38	840367.01	140.21	0.2973,4.2778,1.8868,0.5761,1.7081,0.1959
split_nomig	Round_1_Replicate_6	-4354.06	8720.12	329006.18	285.22	0.2226,1.7607,0.2631,2.2857,0.4328,0.393
split_nomig	Round_1_Replicate_7	-4762.7	9537.4	466024.64	112.83	6.7902,2.1867,0.2714,2.4286,0.1538,1.3368
split_nomig	Round_1_Replicate_8	-5605.23	11222.46	2.4217923669138448e+17	64.64	3.6086,0.8839,0.2126,0.1729,3.541,6.7277
split_nomig	Round_1_Replicate_9	-4909.38	9830.76	2546243280.67	161.19	0.2918,0.2028,1.8883,0.3174,0.2196,2.1584
split_nomig	Round_1_Replicate_10	-5101.32	10214.64	754962.36	96.37	2.0235,4.7218,0.2664,0.8151,6.1359,0.3484
split_nomig	Round_2_Replicate_1	-5695.92	11403.84	2920020427.39	214.81	0.1909,2.3252,0.5431,0.3417,2.4235,0.3351
split_nomig	Round_2_Replicate_2	-4069.02	8150.04	32457990.37	113.74	0.7592,1.9456,5.8573,0.2664,5.3231,0.0868
split_nomig	Round_2_Replicate_3	-3225.85	6463.7	197578.22	136.53	0.3229,6.3388,2.0436,2.1268,0.8479,0.649
split_nomig	Round_2_Replicate_4	-4526.07	9064.14	285448492.59	103.24	0.2377,5.2023,3.6136,0.2711,2.7803,0.1357
split_nomig	Round_2_Replicate_5	-2825.41	5662.82	40096.98	184.25	0.4887,4.1338,0.5316,0.1946,1.248,0.0698
split_nomig	Round_2_Replicate_6	-3468.26	6948.52	138915665.01	107.35	0.2128,12.3224,2.5767,1.1325,0.9959,0.0603
split_nomig	Round_2_Replicate_7	-4501.92	9015.84	139590392.99	138.84	0.0964,5.5132,3.4331,1.1563,0.7094,0.4473
split_nomig	Round_2_Replicate_8	-3296.32	6604.64	565496.84	182.99	0.1462,1.7948,3.4759,0.3638,0.6325,0.3086
split_nomig	Round_2_Replicate_9	-3814.43	7640.86	4521050.27	159.26	0.1081,5.0384,3.3772,0.3767,0.5883,0.3489
split_nomig	Round_2_Replicate_10	-4302.89	8617.78	303245056.39	121.75	0.0897,8.4464,0.5424,0.3477,4.6569,0.3762
split_nomig	Round_2_Replicate_11	-4996.72	10005.44	79098330.09	238.1	0.2265,1.5766,0.4929,0.368,2.1635,0.2015
split_nomig	Round_2_Replicate_12	-3956.13	7924.26	1496839.61	136.64	0.2551,8.301,1.1961,1.8435,1.4277,0.2631
split_nomig	Round_2_Replicate_13	-3810.97	7633.94	4395410.9	96.87	0.3783,7.7316,2.0708,0.5511,2.7402,0.1763
split_nomig	Round_2_Replicate_14	-3774.58	7561.16	6181918.8	107.76	0.1345,15.0314,4.4925,0.3624,0.9737,0.183
split_nomig	Round_2_Replicate_15	-2804.59	5621.18	40337.01	133.44	0.7614,8.4929,0.7434,0.3659,1.7489,0.1409
split_nomig	Round_2_Replicate_16	-3895.61	7803.22	2110437.81	194.09	0.1063,6.2885,1.3295,0.5096,0.6706,0.1798
split_nomig	Round_2_Replicate_17	-3597.78	7207.56	218387.6	294.53	0.3493,1.1752,0.5193,0.2109,0.9473,0.4058
split_nomig	Round_2_Replicate_18	-3350.67	6713.34	1910927399.75	82.97	0.1253,10.6071,1.4679,2.1403,2.7309,0.1519
split_nomig	Round_2_Replicate_19	-3036.86	6085.72	50416.04	195.32	0.5732,5.5327,0.753,1.0877,0.6076,0.6815
split_nomig	Round_2_Replicate_20	-2902.83	5817.66	71281.57	160.79	0.387,8.2948,1.1899,0.1712,1.2207,0.1951
split_nomig	Round_3_Replicate_1	-2533.39	5078.78	58763.28	95.52	2.4281,3.4063,1.3508,0.1349,3.1517,0.0396
split_nomig	Round_3_Replicate_2	-1511.76	3035.52	313244.05	116.85	2.7948,7.4691,2.4572,1.3432,0.6499,0.1029
split_nomig	Round_3_Replicate_3	-2280.33	4572.66	8110.32	183.92	2.0734,2.8085,0.6258,0.2438,0.7265,0.2509
split_nomig	Round_3_Replicate_4	-4065.37	8142.74	210622.7	150.49	0.9554,24.7886,0.4244,0.1627,2.8162,0.3817
split_nomig	Round_3_Replicate_5	-2111.96	4235.92	12674.9	174.13	1.1548,2.1723,1.4481,0.2329,0.7852,0.3846
split_nomig	Round_3_Replicate_6	-2955.35	5922.7	62683.1	58.11	2.069,28.7343,0.906,0.8001,4.2029,0.1739
split_nomig	Round_3_Replicate_7	-1843.82	3699.64	11740.33	119.82	1.2026,18.793,0.3793,0.1193,1.0554,0.03
split_nomig	Round_3_Replicate_8	-1522.38	3056.76	5327.38	106.6	2.9424,4.1661,3.0917,0.3141,1.1764,0.1949
split_nomig	Round_3_Replicate_9	-2419.57	4851.14	11418.57	135.69	2.2961,5.1301,0.3862,0.2853,1.3508,0.0693
split_nomig	Round_3_Replicate_10	-4561.64	9135.28	341992433.11	65.31	0.3852,13.4884,2.3875,1.2601,3.8961,0.1733
