Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1, T2)
split_symmig_adjacent	Round_1_Replicate_1	-2247.9	4513.8	552007.29	114.73	1.2379,0.6563,0.6637,3.6255,1.2341,1.0408,3.112,4.6425,4.0675
split_symmig_adjacent	Round_1_Replicate_2	-2987.13	5992.26	16243.23	294.06	0.1711,2.1579,0.3596,3.6682,3.5562,0.1279,1.2395,2.4306,0.3466
split_symmig_adjacent	Round_1_Replicate_3	-1550.29	3118.58	13286.97	122.71	1.6079,4.5876,1.9391,0.1499,4.1428,0.7649,1.2115,0.3536,4.7939
split_symmig_adjacent	Round_1_Replicate_4	-2366.18	4750.36	18847.61	109.57	6.3346,2.1242,0.4357,0.2262,2.2142,1.1443,0.5157,2.4545,2.7897
split_symmig_adjacent	Round_1_Replicate_5	-1125.94	2269.88	34884134.48	79.97	1.8281,0.4291,4.7263,0.938,0.6445,1.1999,0.3135,0.2339,3.0426
split_symmig_adjacent	Round_1_Replicate_6	-1155.32	2328.64	10289819.45	136.58	1.3049,0.8505,4.1921,0.4529,4.5933,4.8065,0.1314,0.878,0.5423
split_symmig_adjacent	Round_1_Replicate_7	-2186.89	4391.78	975854389.3	81.93	0.7979,3.3251,7.6925,6.8619,0.2444,0.3918,3.6559,3.0206,0.4086
split_symmig_adjacent	Round_1_Replicate_8	-2220.36	4458.72	148861.62	250.95	0.7969,0.1536,0.2999,0.7888,3.2357,3.0165,6.4323,0.8605,2.696
split_symmig_adjacent	Round_1_Replicate_9	-3765.53	7549.06	18647.59	135.08	2.4005,0.1764,0.221,0.2017,0.4303,0.1225,0.5813,2.4049,4.7393
split_symmig_adjacent	Round_1_Replicate_10	-1869.77	3757.54	3295.49	207.42	1.7478,0.2647,0.7708,0.2171,0.4255,0.3279,0.348,1.785,0.2112
split_symmig_adjacent	Round_2_Replicate_1	-1214.85	2447.7	221194356.09	86.64	2.219,0.1473,2.9938,1.1027,0.1703,1.5161,0.2134,0.265,3.1251
split_symmig_adjacent	Round_2_Replicate_2	-1190.59	2399.18	120727044.08	153.72	0.5554,1.0289,4.1214,0.3209,0.3675,2.9358,0.3338,0.0598,1.1113
split_symmig_adjacent	Round_2_Replicate_3	-1546.35	3110.7	116063.55	81.94	0.7376,0.2408,5.4427,0.3695,0.3087,0.9045,0.4526,0.2102,9.4308
split_symmig_adjacent	Round_2_Replicate_4	-1565.33	3148.66	10611779.95	89.51	4.7612,0.3393,1.5909,0.4021,1.2583,4.0563,0.9385,0.5084,5.1551
split_symmig_adjacent	Round_2_Replicate_5	-1421.82	2861.64	22256.71	73.6	0.9075,0.5458,5.8546,0.8422,0.583,0.4943,0.0899,0.3384,4.3288
split_symmig_adjacent	Round_2_Replicate_6	-1640.68	3299.36	18343931.54	45.83	7.5315,0.1979,2.8483,2.5694,0.5386,0.7889,0.8008,0.1668,7.9258
split_symmig_adjacent	Round_2_Replicate_7	-1562.52	3143.04	29455.89	74.71	0.478,1.4931,6.5066,1.7947,0.8805,0.9377,0.302,0.3651,4.9628
split_symmig_adjacent	Round_2_Replicate_8	-1215.66	2449.32	8506545.26	41.8	4.1363,0.9,10.1339,0.4545,1.7924,0.4179,0.2002,0.843,6.8242
split_symmig_adjacent	Round_2_Replicate_9	-1041.99	2101.98	33220277.79	52.99	7.3966,0.1329,10.4787,1.9556,2.3526,0.8882,0.627,0.1037,2.0829
split_symmig_adjacent	Round_2_Replicate_10	-1325.61	2669.22	43644.16	185.33	0.9772,0.6188,1.4993,0.4011,0.8161,3.9507,0.1334,0.1904,0.8497
