ID,Institition,Tissue,Species,Taxa,State,Specificlocality,Latitude,Longitude,Altitude
D_hypoleucum_18070,KU,18070,hypoleucum,Luzon,Camarines Norte,Luzon Island; Municipality Labo; Barangay Tulay na Lupa; Mt. labo,14.039,122.786,580
D_hypoleucum_18191,KU,18191,hypoleucum,Zamboanga,,Mindanao Island;  City of Zamboanga; Brgy. Pasonanca;  Pasonanca Nat. Park,7.018483,122.0273,750
D_hypoleucum_14037,KU,14037,hypoleucum,Mindanao,Dinagat,Dinagat Island;  Muncipality of Loreto; Brgy. Santiago,10.34368,125.6181,200
D_hypoleucum_14079,KU,14079,hypoleucum,Mindanao,Dinagat,Dinagat Island;  Muncipality of Loreto; Brgy. Santiago,10.34368,125.6181,200
D_hypoleucum_14065,KU,14065,hypoleucum,Mindanao,Dinagat,Dinagat Island;  Muncipality of Loreto; Brgy. Santiago,10.34368,125.6181,190
D_hypoleucum_14120,KU,14120,hypoleucum,Mindanao,Eastern Samar,Samar Island;  Muncipality of Taft; Brgy. San Rafael,11.828,125.276,200
D_hypoleucum_18159,KU,18159,hypoleucum,Zamboanga,,Mindanao Island;  City of Zamboanga; Brgy. Pasonanca;  Pasonanca Nat. Park,7.018483,122.0273,750
D_hypoleucum_14075,KU,14075,hypoleucum,Mindanao,Dinagat,Dinagat Island;  Muncipality of Loreto; Brgy. Santiago,10.34368,125.6181,200
D_hypoleucum_20218,KU,20218,hypoleucum,Luzon,Aurora,Luzon Island; Aurora Memorial National Park,15.6851,121.3407,535
D_hypoleucum_19177,KU,19177,hypoleucum,Zamboanga,Zamboanga City,Mindanao Island; Brgy. Tolosa; Sitio Santa Clara; Pasonanca Natural Park,7.1078,122.1195,604
D_hypoleucum_19178,KU,19178,hypoleucum,Zamboanga,Zamboanga City,Mindanao Island; Brgy. Tolosa; Sitio Santa Clara; Pasonanca Natural Park,7.1078,122.1194,600
D_hypoleucum_20213,KU,20213,hypoleucum,Luzon,Aurora,Luzon Island; Aurora Memorial National Park,15.6851,121.3407,535
D_hypoleucum_FMNH454949,FMNH,FMNH454949,hypoleucum,Luzon,Luzon,Mt. Amnyao,17,121,NA
D_hypoleucum_25637,KU,25637,hypoleucum,Luzon,Ilocos Norte,Luzon Island; Adams; Mt. Pao,18.438,120.878,750
D_hypoleucum_1271,CMC,1271,hypoleucum,Mindanao,Mindanao,Davao City;  Mt. Talomo,7.042,125.338,
D_hypoleucum_1273,CMC,1273,hypoleucum,Mindanao,Mindanao,Davao City;  Mt. Talomo,7.042,125.338,
D_hypoleucum_1275,CMC,1275,hypoleucum,Mindanao,Mindanao,Davao City;  Mt. Talomo,7.042,125.338,
D_hypoleucum_25921,KU,25921,hypoleucum,Luzon,Cagayan,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111,780
D_hypoleucum_3274,CMC,3274,hypoleucum,Mindanao,Mindanao,Davao del Norte; Mt. Pasian,7.848,126.186,
D_hypoleucum_26984,KU,26984,hypoleucum,Luzon,Cagayan,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111,680
D_hypoleucum_3208,CMC,3208,hypoleucum,Mindanao,Mindanao,Davao del Norte; Mt. Pasian,7.848,126.186,
D_hypoleucum_3158,CMC,3158,hypoleucum,Mindanao,Mindanao,Davao del Norte; Mt. Pasian,7.848,126.186,
D_hypoleucum_2253,CMC,2253,hypoleucum,Mindanao,Mindanao,Sarangani; Mt. Busa,6.109,124.666,
D_hypoleucum_3095,CMC,3095,hypoleucum,Mindanao,Mindanao,Davao del Norte; Mt. Pasian,7.848,126.186,
D_hypoleucum_462070,FMNH,462070,hypoleucum,Luzon,Luzon,Camarines Sur; Lagonoy,13.7644,123.64458,
D_hypoleucum_25675,KU,25675,hypoleucum,Luzon,Ilocos Norte,Luzon Island; Adams; Mt. Pao,18.438,120.878,750
D_hypoleucum_454950,FMNH,454950,hypoleucum,Luzon,Luzon,Mt. Amnyao,17,121,
D_hypoleucum_25880,KU,25880,hypoleucum,Luzon,Cagayan,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111,780
D_hypoleucum_3314,CMC,3314,hypoleucum,Mindanao,Mindanao,Davao del Norte; Mt. Pasian,7.848,126.186,
D_hypoleucum_357608,FMNH,357608,hypoleucum,Mindanao,Mindanao,Bukidnon;  Mt. Kitanglad Range,8,124.75,
D_hypoleucum_357615,FMNH,357615,hypoleucum,Mindanao,Mindanao,Bukidnon;  Mt. Kitanglad Range,8,124.75,
D_hypoleucum_357612,FMNH,357612,hypoleucum,Mindanao,Mindanao,Bukidnon;  Mt. Kitanglad Range,8,124.75,
D_hypoleucum_19638,KU,19638,hypoleucum,Luzon,Aurora,Luzon Island;  Municipality of San Luis;  ca. 12 km WSW of Baler,15.64362,121.5149,1075
D_hypoleucum_25868,KU,25868,hypoleucum,Luzon,Cagayan,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111,940
D_hypoleucum_17969,KU,17969,hypoleucum,Luzon,Camarines Norte,Luzon Island; Municipality Labo; Barangay Tulay na Lupa; Mt. labo,14.039,122.786,580
D_hypoleucum_25672,KU,25672,hypoleucum,Luzon,Ilocos Norte,Luzon Island; Adams; Mt. Pao,18.438,120.878,750
D_hypoleucum_26975,KU,26975,hypoleucum,Luzon,Cagayan,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111,680
D_hypoleucum_2229,CMC,2229,hypoleucum,Mindanao,,Sarangani; Mt. Busa,6.109,124.666,
D_hypoleucum_2067,CMC,2067,hypoleucum,Mindanao,,Sarangani; Mt. Busa,6.109,124.666,
D_hypoleucum_28329,KU,28329,hypoleucum,Mindanao,Agusan del Norte,Mindanao Island; Mt. Hilong-Hilong,9.075,125.665,500
D_hypoleucum_28361,KU,28361,hypoleucum,Mindanao,Agusan del Norte,Mindanao Island; Mt. Hilong-Hilong,9.075,125.665,1000
D_hypoleucum_28376,KU,28376,hypoleucum,Mindanao,Agusan del Norte,Mindanao Island; Mt. Hilong-Hilong,9.075,125.665,1000
D_hypoleucum_2208,CMC,2208,hypoleucum,Mindanao,Mindanao,Sarangani; Mt. Busa,6.109,124.666,
