ID,Tissue,Species,Taxa,State,Specificlocality,Latitude,Longitude,Altitude,sample_details
D_hypoleucum_18070,18070,hypoleucum,Luzon,Camarines Norte,"Luzon Island; Municipality Labo; Barangay Tulay na Lupa, Mt. Labo",14.039,122.786,580,One of 60 samples passing all filtering thresholds and included in downstream analyses
D_hypoleucum_18191,18191,hypoleucum,Zamboanga,,"Mindanao Island, City of Zamboanga; Brgy. Pasonanca, Pasonanca Nat. Park",7.018483,122.0273,750,One of 60 samples passing all filtering thresholds and included in downstream analyses
D_hypoleucum_14061,14061,hypoleucum,Mindanao,Dinagat,"Dinagat Island, Muncipality of Loreto, Brgy. Santiago, Sitio Cambinliw, Sudlon",10.34368,125.6181,200,dropped for lack of sequencing
D_hypoleucum_14037,14037,hypoleucum,Mindanao,Dinagat,"Dinagat Island, Muncipality of Loreto, Brgy. Santiago, Sitio Cambinliw, Sudlon",10.34368,125.6181,200,One of 60 samples passing all filtering thresholds and included in downstream analyses
D_hypoleucum_14079,14079,hypoleucum,Mindanao,Dinagat,"Dinagat Island, Muncipality of Loreto, Brgy. Santiago, Sitio Cambinliw, Sudlon",10.34368,125.6181,200,One of 60 samples passing all filtering thresholds and included in downstream analyses
D_hypoleucum_14065,14065,hypoleucum,Mindanao,Dinagat,"Dinagat Island, Municipality Loreto, Brgy. Santiago, Sitio Cambinliu, Sudlon",10.34368,125.6181,190,One of 60 samples passing all filtering thresholds and included in downstream analyses
D_hypoleucum_27182,27182,hypoleucum,Mindanao,Unplaced,tankakan,6.46,125.0636,NA,dropped for lack of sequencing
D_hypoleucum_14225,14225,hypoleucum,Mindanao,Eastern Samar,"Samar Island, Muncipality of Taft, Brgy. San Rafael",11.82912,125.2767,170,dropped for lack of sequencing
D_hypoleucum_14120,14120,hypoleucum,Mindanao,Eastern Samar,"Samar Island, Muncipality of Taft, Brgy. San Rafael",11.8174,125.2779,200,One of 60 samples passing all filtering thresholds and included in downstream analyses
D_hypoleucum_17976,17976,hypoleucum,Luzon,Camarines Norte,"Luzon Island; Municipality Labo; Barangay Tulay na Lupa, Mt. Labo",14.039,122.786,580,dropped for a lack of homologous SNPs during SNP filtering process
D_hypoleucum_18159,18159,hypoleucum,Zamboanga,,"Mindanao Island, City of Zamboanga; Brgy. Pasonanca, Pasonanca Nat. Park",7.018483,122.0273,750,One of 60 samples passing all filtering thresholds and included in downstream analyses
