ID,Museum,Tissue number,catalog number,Taxa,Locality,Latitude,Longitude
D_hypoleucum_18191,KU,18191,112481,hypoleucum,Mindanao Island;  City of Zamboanga; Brgy. Pasonanca;  Pasonanca Nat. Park,7.018483,122.0273
D_hypoleucum_18159,KU,18159,112478,hypoleucum,Mindanao Island;  City of Zamboanga; Brgy. Pasonanca;  Pasonanca Nat. Park,7.018483,122.0273
D_hypoleucum_19177,KU,19177,113708,hypoleucum,Mindanao Island; Brgy. Tolosa; Sitio Santa Clara; Pasonanca Natural Park,7.1078,122.1195
D_hypoleucum_19178,KU,19178,116869,hypoleucum,Mindanao Island; Brgy. Tolosa; Sitio Santa Clara; Pasonanca Natural Park,7.1078,122.1194
D_hypoleucum_18193,KU,18193,112479,hypoleucum,Mindanao Island; City of Zamboanga; Brgy. Pasonanca;  Pasonanca Nat. Park,7.018483,122.0273
D_hypoleucum_29945,KU,29945,122296,hypoleucum,Mindanao Island;  City of Zamboanga; Brgy. Pasonanca;  Pasonanca Nat. Park,7.164,122.096
D_hypoleucum_29951,KU,29951,122297,hypoleucum,Mindanao Island;  City of Zamboanga; Brgy. Pasonanca;  Pasonanca Nat. Park,7.164,122.096
D_hypoleucum_18070,KU,18070,112608,obscurum,Luzon Island; Municipality Labo; Barangay Tulay na Lupa; Mt. labo,14.039,122.786
D_hypoleucum_20218,KU,20218,116368,obscurum,Luzon Island; Aurora Memorial National Park,15.6851,121.3407
D_hypoleucum_20213,KU,20213,116901,obscurum,Luzon Island; Aurora Memorial National Park,15.6851,121.3407
D_hypoleucum_FMNH454949,FMNH,-,454949,obscurum,Mt. Amnyao,17,121
D_hypoleucum_25637,KU,25637,119214,obscurum,Luzon Island; Adams; Mt. Pao,18.438,120.878
D_hypoleucum_25921,KU,25921,119587,obscurum,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111
D_hypoleucum_26984,KU,26984,119589,obscurum,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111
D_hypoleucum_462070,FMNH,-,462070,obscurum,Camarines Sur; Lagonoy,13.7644,123.64458
D_hypoleucum_25675,KU,25675,,obscurum,Luzon Island; Adams; Mt. Pao,18.438,120.878
D_hypoleucum_454950,FMNH,-,454950,obscurum,Mt. Amnyao,17,121
D_hypoleucum_25880,KU,25880,119554,obscurum,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111
D_hypoleucum_19638,KU,19638,114582,obscurum,Luzon Island;  Municipality of San Luis;  ca. 12 km WSW of Baler,15.64362,121.5149
D_hypoleucum_25868,KU,25868,119585,obscurum,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111
D_hypoleucum_17969,KU,17969,112606,obscurum,Luzon Island; Municipality Labo; Barangay Tulay na Lupa; Mt. labo,14.039,122.786
D_hypoleucum_25672,KU,25672,119217,obscurum,Luzon Island; Adams; Mt. Pao,18.438,120.878
D_hypoleucum_26975,KU,26975,119588,obscurum,Luzon Island; Gonzaga; Mt. Cagua,18.219,122.111
D_hypoleucum_25670,KU,25670,119216,obscurum,Luzon Island; Adams; Mt. Pao,18.438,120.878
