D_hypoleucum_18070	hyp18070
D_hypoleucum_18191	hyp18191
D_hypoleucum_14037	hyp14037
D_hypoleucum_14079	hyp14079
D_hypoleucum_14065	hyp14065
D_hypoleucum_14120	hyp14120
D_hypoleucum_18159	hyp18159
D_hypoleucum_14075	hyp14075
D_hypoleucum_20218	hyp20218
D_hypoleucum_19177	hyp19177
D_hypoleucum_19178	hyp19178
D_hypoleucum_20213	hyp20213
D_hypoleucum_FMNH454949	hypFMNH454949
D_hypoleucum_25637	hyp25637
D_hypoleucum_1271	hyp1271
D_hypoleucum_1273	hyp1273
D_hypoleucum_1275	hyp1275
D_hypoleucum_25921	hyp25921
D_hypoleucum_3274	hyp3274
D_hypoleucum_26984	hyp26984
D_hypoleucum_3208	hyp3208
D_hypoleucum_3158	hyp3158
D_hypoleucum_2253	hyp2253
D_hypoleucum_3095	hyp3095
D_hypoleucum_462070	hyp462070
D_hypoleucum_25675	hyp25675
D_hypoleucum_454950	hyp454950
D_hypoleucum_25880	hyp25880
D_hypoleucum_3314	hyp3314
D_hypoleucum_357608	hyp357608
D_hypoleucum_357615	hyp357615
D_hypoleucum_357612	hyp357612
D_hypoleucum_19638	hyp19638
D_hypoleucum_25868	hyp25868
D_hypoleucum_17969	hyp17969
D_hypoleucum_25672	hyp25672
D_hypoleucum_26975	hyp26975
D_hypoleucum_2229	hyp2229
D_hypoleucum_2067	hyp2067
D_hypoleucum_28329	hyp28329
D_hypoleucum_28361	hyp28361
D_hypoleucum_28376	hyp28376
D_hypoleucum_2208	hyp2208
D_hypoleucum_28294	hyp28294
D_hypoleucum_1956	hyp1956
D_hypoleucum_25670	hyp25670
D_hypoleucum_20921	hyp20921
D_hypoleucum_20193	hyp20193
D_hypoleucum_28416	hyp28416
D_hypoleucum_18193	hyp18193
D_hypoleucum_27450	hyp27450
D_hypoleucum_19046	hyp19046
D_hypoleucum_19136	hyp19136
D_hypoleucum_28676	hyp28676
D_nigrilore_KU28413	niKU28413
D_nigrilore_KU28414	niKU28414
D_hypoleucum_29945	hyp29945
D_hypoleucum_31636	hyp31636
D_hypoleucum_29951	hyp29951
D_hypoleucum_31644	hyp31644
