sample,pop
D_hypoleucum_18070,3
D_hypoleucum_18191,1
D_hypoleucum_14037,2
D_hypoleucum_14079,2
D_hypoleucum_14065,2
D_hypoleucum_14120,2
D_hypoleucum_18159,1
D_hypoleucum_14075,2
D_hypoleucum_20218,3
D_hypoleucum_19177,1
D_hypoleucum_19178,1
D_hypoleucum_20213,3
m_FMNH454949,3
D_hypoleucum_25637,3
D_hypoleucum_1271,2
D_hypoleucum_1273,2
D_hypoleucum_1275,2
D_hypoleucum_25921,3
D_hypoleucum_3274,2
D_hypoleucum_26984,3
D_hypoleucum_3208,2
D_hypoleucum_3158,2
D_hypoleucum_2253,2
D_hypoleucum_3095,2
D_hypoleucum_462070,3
D_hypoleucum_25675,3
D_hypoleucum_454950,3
D_hypoleucum_25880,3
D_hypoleucum_3314,2
D_hypoleucum_357608,2
D_hypoleucum_357615,2
D_hypoleucum_357612,2
D_hypoleucum_19638,3
D_hypoleucum_25868,3
D_hypoleucum_17969,3
D_hypoleucum_25672,3
D_hypoleucum_26975,3
D_hypoleucum_2229,2
D_hypoleucum_2067,2
D_hypoleucum_28329,2
D_hypoleucum_28361,2
D_hypoleucum_28376,2
D_hypoleucum_2208,2
D_hypoleucum_28294,2
D_hypoleucum_1956,2
D_hypoleucum_25670,3
D_hypoleucum_20921,2
D_hypoleucum_20193,3
D_hypoleucum_28416,2
D_hypoleucum_18193,1
D_hypoleucum_27450,2
D_hypoleucum_19046,2
D_hypoleucum_19136,2
D_hypoleucum_28676,2
D_hypoleucum_29945,1
D_hypoleucum_31636,2
D_hypoleucum_29951,1
D_hypoleucum_31644,2
