#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <prior id="lambdaPrior.rep1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.rep1" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.base.inference.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.base.inference.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.rep1" nodetype="snap.NodeData" spec="beast.base.evolution.tree.ClusterTree">
#                <taxa dataType="integerdata" id="snap.rep1" spec="snap.Data">
#                    <taxonset id="Mindanao" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Mindanao_2253" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_1275" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_28416" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Luzon" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Luzon_FMNH454949" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_26984" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_18070" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Zamboanga" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Zamboanga_19178" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_18159" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_29945" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.rep1" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.rep1" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution">
#        <distribution data="@snap.rep1" id="treeLikelihood.rep1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.rep1">
#            <siteModel id="MutationSiteModel.rep1" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-5751.584177174787	-5490.446337808156	-261.1378393666306	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.4356720935615161
1000	-4414.24578307198	-4160.2044094995645	-254.04137357241612	27.023902471968363	0.5094254606864209	0.23938158154843472	0.17570272298868211	0.09003623116716918	0.123159775184864	0.12047824759908089	0.032813773821475004
2000	-4412.692296694046	-4159.064299031521	-253.6279976625243	27.023902471968363	0.5094254606864209	0.17589288088160018	0.14451248732963448	0.07248831817597923	0.22545977825134053	0.16878737125803064	0.021992805335783676
3000	-4408.756591616904	-4154.140121612671	-254.61647000423355	29.114521587329296	0.5087368226387088	0.22775897666825778	0.18021088537036864	0.06214315365819966	0.09030937861733197	0.13801498405327803	0.023050508167529724
4000	-4410.163687536396	-4157.359932512114	-252.80375502428174	32.23449761016342	0.5078778622264981	0.14377948076333563	0.19347042866563627	0.06195805630295681	0.10827022110180098	0.19892417045485514	0.01589833646044951
5000	-4408.289432691706	-4153.072228222762	-255.2172044689438	32.23449761016342	0.5078778622264981	0.20742038927267975	0.20932417480354354	0.06073928807578091	0.1343389358423883	0.11105579566504571	0.021579980871079783
6000	-4408.27894711877	-4155.312541899391	-252.96640521937877	35.21878527636411	0.5072007127556446	0.18091917803532365	0.17334637552093182	0.04968529003851884	0.11524668829498634	0.12334429799254727	0.02148784348405481
7000	-4411.288037258213	-4156.873024204002	-254.41501305421153	37.707993615532324	0.5067189863173821	0.1521760527465806	0.11991004218940027	0.04700309704279069	0.21038092080627388	0.07585679461767862	0.019581807016282794
8000	-4412.644074251751	-4160.797637901069	-251.846436350682	37.33164012607708	0.5067876423407764	0.13144015983495916	0.08130247221014682	0.048628127169104945	0.15260245066876427	0.13183544578849588	0.014243247804883416
9000	-4406.543283271539	-4151.422590601275	-255.12069267026362	37.33164012607708	0.5067876423407764	0.1829885462986284	0.1445402161023504	0.0428704662686844	0.08220062878699343	0.18030719334568648	0.012329932743071254
10000	-4404.84369637816	-4151.751494432752	-253.09220194540748	33.81929755434789	0.5075031593806028	0.18098799687976505	0.15458327481799924	0.04823460524257312	0.1651619307604524	0.15136943294122732	0.01626833505156461
11000	-4404.426171838864	-4151.818640859743	-252.6075309791211	35.728184374539794	0.5070965905407456	0.18264635882375815	0.15993969513936815	0.05321443349787079	0.13204122223817683	0.13313422725280866	0.018320799831315203
12000	-4406.028201439264	-4154.905267542253	-251.1229338970113	34.51407431708739	0.5073498986822172	0.1717280405808762	0.14714558638475278	0.05309786281184517	0.105870567066336	0.10120187826760911	0.02089496778807536
13000	-4410.388825738792	-4157.105866523285	-253.28295921550708	35.02186171368786	0.5072417878871485	0.1673050905936819	0.14181376592521228	0.04780963048378694	0.07534202965578851	0.08184837671714514	0.016613459992991346
14000	-4409.216498679765	-4154.727797407461	-254.48870127230367	33.35017327310467	0.5076103099341848	0.16755847072882946	0.17377550082011084	0.0588805430068272	0.09673229964519578	0.17665740939023708	0.015179426350365273
15000	-4405.495172386096	-4154.105346109388	-251.38982627670748	32.3765428015516	0.5078427576527474	0.1644866643038183	0.17518966660219457	0.055126677997154476	0.10802814326918579	0.14555884519629717	0.0175690179609029
16000	-4408.258843065833	-4155.851901632759	-252.40694143307408	32.3765428015516	0.5078427576527474	0.1871381828177629	0.15617609973203217	0.05385002411176727	0.13254875683997888	0.0829872472891972	0.020293814196456556
17000	-4408.616596009399	-4153.864627255358	-254.75196875404046	32.3765428015516	0.5078427576527474	0.15659445670526687	0.16265578250910884	0.04502629929074282	0.1715581364757206	0.19113795054020513	0.01428168116911381
18000	-4408.428908375554	-4152.075226972752	-256.3536814028022	31.488345324465353	0.5080675491828415	0.20557381630434413	0.1936460441745434	0.052523148132361926	0.11054006276205884	0.16429212789741457	0.01828172464993382
