#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <prior id="lambdaPrior.rep5" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.rep5" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.base.inference.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.base.inference.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.rep5" nodetype="snap.NodeData" spec="beast.base.evolution.tree.ClusterTree">
#                <taxa dataType="integerdata" id="snap.rep5" spec="snap.Data">
#                    <taxonset id="Mindanao" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Mindanao_14075" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_357615" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_14065" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Luzon" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Luzon_20193" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_25637" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_26984" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Zamboanga" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Zamboanga_18191" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_18159" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_19178" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.rep5" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.rep5" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution">
#        <distribution data="@snap.rep5" id="treeLikelihood.rep5" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.rep5">
#            <siteModel id="MutationSiteModel.rep5" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-5744.068930960217	-5482.93105089302	-261.1378800671969	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.4369074200776559
1000	-4435.498736826119	-4169.379237809124	-266.119499016995	20.209922832475403	0.5126839664530843	0.3276025388315041	0.2261883990562059	0.11671954749633091	0.15842114024245874	0.09293421924189167	0.0490346722349171
2000	-4434.968909975796	-4172.25132202283	-262.71758795296586	20.209922832475403	0.5126839664530843	0.32205337970536385	0.17017098927626492	0.09640822000737974	0.08216572156299137	0.13000990381560965	0.04012540219912504
3000	-4419.6175179072825	-4162.003429122254	-257.6140887850291	29.093447003749905	0.5087432620476717	0.24354903781045184	0.21131256450396899	0.06534265302537766	0.09518255090121268	0.13400792822589216	0.029414743795696703
4000	-4414.678409719159	-4159.564314803842	-255.11409491531793	32.23245068416036	0.5078783703940266	0.19842475129868523	0.15155401139154973	0.054231774901131506	0.0887954568902776	0.18913593282803423	0.016793828306167165
5000	-4416.228652506935	-4163.26432260281	-252.9643299041248	31.70479109688706	0.5080115902466317	0.2164174508995147	0.13014045309804734	0.05821289984457722	0.08971641562203996	0.1441339954262888	0.021514058668872155
6000	-4415.185124913778	-4161.604839745345	-253.58028516843325	31.70479109688706	0.5080115902466317	0.16628631340938535	0.15161109300079806	0.04395650252025452	0.10185980613848346	0.18452394411627465	0.014215456313336736
7000	-4416.304836551835	-4164.211350410737	-252.09348614109825	31.70479109688706	0.5080115902466317	0.1799853382323032	0.1329735065665975	0.05296291845129759	0.09426459827922361	0.14321017339159958	0.016257398470794257
8000	-4415.670815956986	-4159.97951042363	-255.69130553335626	29.241318951790046	0.5086982786148173	0.21889488986151726	0.15133494437010753	0.050316098313843045	0.1387001083144586	0.1781382136284892	0.01820417536647252
9000	-4413.659080282457	-4159.255690391339	-254.40338989111734	31.88156598332507	0.507966460314085	0.21381592334647656	0.15482536877802297	0.04810649154621515	0.10166221996228494	0.14318067774540763	0.017314965605567913
10000	-4415.08019708328	-4161.861004654343	-253.2191924289373	36.86622435001734	0.5068745107436451	0.18004718399880476	0.15909510040040906	0.045456512418778613	0.15011926424426794	0.11234097970139852	0.013880977163761767
11000	-4414.579668588556	-4161.2514032316385	-253.32826535691757	37.36024837221337	0.5067823742660524	0.1844245637467879	0.1351398796022939	0.046577102191614546	0.08389615152114886	0.12115614607093922	0.012646733591027949
12000	-4413.071694874727	-4161.77294798911	-251.29874688561597	37.947080874216034	0.5066760878061429	0.16478642190586357	0.12627459020923135	0.04749372521006254	0.10676454324979893	0.11276771381266557	0.013556178315312525
13000	-4416.175678745454	-4158.479440041503	-257.696238703951	37.947080874216034	0.5066760878061429	0.2190952867490699	0.12183876306079672	0.040001081263504004	0.10535576028231233	0.12913703814807845	0.014822438004432172
14000	-4416.389693562992	-4165.300243747351	-251.08944981564107	40.908040484825214	0.5061868874857687	0.1411733042083401	0.13582283971836484	0.05009543077464209	0.0825909046775722	0.15364410691159036	0.01407748013826839
15000	-4413.753235460894	-4161.074204843086	-252.6790306178079	40.908040484825214	0.5061868874857687	0.18230302601349502	0.1503448376962087	0.04663160753789705	0.09408849220740706	0.10464056642995101	0.014084891786011034
16000	-4416.743419153607	-4159.2110015357575	-257.5324176178489	40.908040484825214	0.5061868874857687	0.188909965513816	0.12406091291921098	0.04149294712193174	0.06458872355620127	0.12207792767023556	0.011511451122244437
17000	-4415.685726995649	-4161.668789470545	-254.01693752510437	40.908040484825214	0.5061868874857687	0.13278468287009465	0.11725319912483868	0.0386430984010121	0.1266022283153077	0.17923279890104407	0.009164073615279987
18000	-4413.389285664278	-4160.181209146757	-253.2080765175208	42.97133619231418	0.5058863229277265	0.14262937776026166	0.13199665745817862	0.03380462312290617	0.12788448757470977	0.12362962168921965	0.014411553856210001
19000	-4416.66635298743	-4160.4414198555105	-256.22493313191956	39.41566661012597	0.506424147953178	0.16402076486295017	0.08847227527332999	0.034454895041319746	0.14870789639406193	0.19556144507373807	0.009132590514866241
20000	-4414.342407715619	-4160.917014216113	-253.425393499506	49.81392957446333	0.50506956152465	0.17585581676515646	0.10615337703677549	0.037452314969538415	0.11437728455481941	0.08952909721641433	0.010638130470400253
21000	-4424.268735243778	-4163.95455536016	-260.31417988361784	41.44155235878921	0.5061062657763715	0.1860084842630128	0.11338111859388354	0.0244571142452469	0.21015314591855938	0.13650312005906523	0.014691512888896275
22000	-4411.323210048157	-4159.029033278741	-252.2941767694164	41.44155235878921	0.5061062657763715	0.15124835302682021	0.1275995158867398	0.03846014481129088	0.11607308660635234	0.13233279927435362	0.01216213751047497
23000	-4414.9387646468385	-4162.019383057095	-252.91938158974313	49.73100692770625	0.5050781004818186	0.11490746055258622	0.10501380762559004	0.03503724504630771	0.150112781706164	0.10467430282553608	0.011471295077910035
24000	-4414.947034990049	-4160.036806730046	-254.91022826000363	54.22080249362238	0.5046536907193387	0.13228740440853037	0.09706324871769605	0.03159527776376884	0.07277857508920735	0.09730009213215172	0.00917491904934755
25000	-4415.859391906285	-4161.643876298116	-254.2155156081686	52.02003313723287	0.5048524813509743	0.12688197489609138	0.0850181078158467	0.03252583675258601	0.12810199942214473	0.12239874738403375	0.008688799834537013
26000	-4413.420919198919	-4158.027101544027	-255.39381765489276	46.99894455672673	0.5053764661194624	0.1391995235601799	0.10623159741285357	0.026848283662156223	0.12423197468859389	0.15397142451369586	0.00910039917493799
27000	-4416.585496527578	-4160.123971058576	-256.46152546900123	51.102565290358754	0.5049404609937361	0.11259351418525543	0.08874648869645685	0.027474523602394465	0.08875308351005015	0.10103964320738255	0.008763405098989548
28000	-4413.272612934958	-4160.464751323563	-252.80786161139474	51.102565290358754	0.5049404609937361	0.13193104883054374	0.11995511400862784	0.034023817473391504	0.10754043667946886	0.10416686755295744	0.010689837131012122
29000	-4418.221656749103	-4163.230963386953	-254.9906933621502	51.102565290358754	0.5049404609937361	0.12110606831979036	0.11259138321011952	0.0278880304967081	0.15766767929041203	0.10219095480146488	0.008776256917391145
30000	-4416.464108486427	-4159.960813982636	-256.5032945037915	51.102565290358754	0.5049404609937361	0.11596444878493353	0.08319715626942298	0.029220192838642665	0.1943462102075714	0.13841738594463476	0.007397635961322135
31000	-4416.1590368959205	-4158.210303149974	-257.9487337459464	51.102565290358754	0.5049404609937361	0.17841773020182705	0.09727571293486593	0.027057657053039957	0.12428152499913023	0.10816148879655516	0.00972500105101564
32000	-4415.358656217161	-4158.830667972079	-256.5279882450822	51.102565290358754	0.5049404609937361	0.11273807359845275	0.08508671598478745	0.024418894067291173	0.10935300440610238	0.1313697382871584	0.008537308144981997
33000	-4413.194338105386	-4159.1267762936895	-254.06756181169675	51.102565290358754	0.5049404609937361	0.16123384393075657	0.11694718624821769	0.033442224772114705	0.11384062503591301	0.11677758508508246	0.010356623693201132
34000	-4416.984551800079	-4161.698425789758	-255.28612601032108	49.37811825086505	0.5051147631894682	0.15200283366800635	0.10481356420598287	0.02941044289370153	0.12769533204514552	0.131093013630278	0.012314823726593573
35000	-4414.307672182598	-4158.749448398879	-255.55822378371866	48.59574639222685	0.5051979648670221	0.18621993205092824	0.10378323065848617	0.03457029687852477	0.1225298824081002	0.10652686878826248	0.011063346660479272
36000	-4421.27417598624	-4168.501374971307	-252.7728010149332	48.59574639222685	0.5051979648670221	0.10220456061101706	0.11796835526674881	0.03841399703280201	0.07566350392530799	0.13785813496003255	0.008994912395753707
37000	-4413.308270290855	-4158.875962006665	-254.4323082841905	48.59574639222685	0.5051979648670221	0.15420225110435146	0.10536751940643825	0.030500107321036245	0.09054691999234452	0.10867584868986942	0.008968150261860564
38000	-4411.640266206721	-4158.140884310312	-253.4993818964095	44.84135500645648	0.5056380775906284	0.17556950395606294	0.11803049472083162	0.036909533624155735	0.10522053959773645	0.12348066919387814	0.01142571528770499
39000	-4413.530242267113	-4158.330795271324	-255.19944699578892	46.69574731076253	0.5054117535607386	0.15227486472685992	0.102105561789087	0.029276855580938704	0.10388717579493988	0.12853014025261736	0.010335319774858513
40000	-4414.103669672615	-4160.544855737327	-253.55881393528807	46.69574731076253	0.5054117535607386	0.14807975986261915	0.09930986642135378	0.03795077928202659	0.08431807833607553	0.1098539149529658	0.012501874294182206
41000	-4412.301467717025	-4159.198312417277	-253.10315529974818	46.69574731076253	0.5054117535607386	0.15554352548126815	0.11371344761507834	0.03574696733334611	0.12062949069411134	0.11309796791949614	0.01094713830670157
